fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,temperatura_sistema_c,voltaje_v,senal_csq
2026-01-01 00:45:37,,,,,25,12.39,31
2026-01-01 01:48:06,,,,,24,12.37,31
2026-01-01 02:48:56,9.12,1749,23.62,,22.5,12.36,26
2026-01-01 03:50:19,9.15,1746,23.56,,22.25,12.35,26
2026-01-01 04:51:29,9.15,1739,23.38,,21.5,12.35,26
2026-01-01 05:52:20,9.15,1745,23.25,,20.5,12.33,27
2026-01-01 06:53:05,9.15,1739,23.25,,20,12.33,26
2026-01-01 07:53:53,9.11,1731,23,,21.75,12.35,26
2026-01-01 08:54:52,9.02,1750,23.44,,25.75,12.38,26
2026-01-01 09:56:04,8.93,1778,23.5,,30,12.39,22
2026-01-01 10:59:07,,,,,40.25,12.41,26
2026-01-01 12:01:41,8.75,1819,24.69,,44,12.44,26
2026-01-01 13:02:34,8.8,1838,25.5,,42.25,12.44,27
2026-01-01 14:03:06,8.94,1845,25.25,,39.25,12.44,24
2026-01-01 15:04:06,8.89,1855,25.5,,39.25,12.44,29
2026-01-01 16:04:57,8.9,1835,25.12,,39.5,12.45,27
2026-01-01 17:05:58,8.97,1848,24.94,,38.75,12.44,24
2026-01-01 18:07:19,8.99,1830,24.94,,38.5,12.45,26
2026-01-01 19:08:57,9.04,1822,24.69,,37.75,12.46,30
2026-01-01 20:09:47,9.04,1808,24.62,,36.75,12.45,22
2026-01-01 21:11:07,9.08,1810,24.5,,32.5,12.41,28
2026-01-01 22:13:31,,,,,30.25,12.41,26
2026-01-01 23:14:07,9.1,1801,24.31,,27.75,12.4,30
2026-01-02 00:15:09,9.1,1797,24.12,,25.75,12.39,31
2026-01-02 01:15:50,9.11,1791,24,,24,12.39,26
2026-01-02 02:16:37,9.1,1722,23.81,,23.5,12.38,24
2026-01-02 03:18:31,9.13,1782,23.81,,22,12.35,15
2026-01-02 04:21:03,,,,,21.75,12.35,17
2026-01-02 05:23:36,,,,,21.25,12.35,19
2026-01-02 06:26:06,,,,,20.5,12.35,17
2026-01-02 07:28:40,,,,,21,12.34,18
2026-01-02 08:31:24,,,,,24,12.38,18
2026-01-02 09:34:13,,,,,28,12.39,23
2026-01-02 10:37:06,,,,,36.25,12.41,27
2026-01-02 11:40:02,,,,,39,12.44,25
2026-01-02 12:42:39,,,,,38.25,12.44,25
2026-01-02 13:44:59,,,,,36.25,12.42,22
2026-01-02 14:47:30,,,,,35.5,12.42,27
2026-01-02 15:50:03,,,,,35.25,12.43,31
2026-01-02 16:52:37,,,,,35.75,12.44,26
2026-01-02 17:55:14,,,,,36,12.44,26
2026-01-02 18:57:48,,,,,36,12.44,26
2026-01-02 20:00:24,,,,,35.75,12.44,27
2026-01-02 21:02:47,,,,,30,12.4,29
2026-01-02 22:04:43,9.14,1872,24.56,,27.75,12.39,27
2026-01-02 23:07:12,,,,,26.75,12.39,23
2026-01-03 00:09:40,,,,,25,12.38,23
2026-01-03 01:11:50,9.14,1833,24.44,,24.25,12.37,26
2026-01-03 02:14:19,,,,,22.75,12.35,27
2026-01-03 03:16:46,,,,,22,12.36,26
2026-01-03 04:19:12,9.13,1820,24.12,,21.25,12.34,23
2026-01-03 05:20:51,9.15,1814,23.5,,20.25,12.35,30
2026-01-03 06:23:24,,,,,19.75,12.32,26
2026-01-03 07:25:28,9.12,1806,23.5,,19.75,12.34,27
2026-01-03 08:27:47,9.07,1814,23.25,,22.5,12.36,26
2026-01-03 09:30:32,,,,,26,12.39,24
2026-01-03 10:33:25,,,,,32,12.41,22
2026-01-03 11:36:13,,,,,33.75,12.41,27
2026-01-03 12:38:49,,,,,34.5,12.41,27
2026-01-03 13:41:33,,,,,36.75,12.42,27
2026-01-03 14:43:38,8.82,1970,23.06,,36,12.42,26
2026-01-03 15:46:08,,,,,35.5,12.42,26
2026-01-03 16:48:43,,,,,36,12.42,30
2026-01-03 17:51:19,,,,,36.5,12.44,29
2026-01-03 18:53:52,,,,,36,12.44,30
2026-01-03 19:56:26,,,,,35.25,12.43,31
2026-01-03 20:58:52,,,,,30,12.41,31
2026-01-03 22:01:13,,,,,27.75,12.4,29
2026-01-03 23:03:41,,,,,26.25,12.39,31
2026-01-04 00:06:10,,,,,24.75,12.39,31
2026-01-04 01:08:42,,,,,24,12.38,27
2026-01-04 02:11:13,,,,,22.5,12.35,31
2026-01-04 03:13:46,,,,,22.25,12.37,26
2026-01-04 04:16:18,,,,,21.25,12.35,23
2026-01-04 05:18:30,9.12,1920,25.75,,20.75,12.33,26
2026-01-04 06:21:00,,,,,19.75,12.33,23
2026-01-04 07:23:33,9.1,1943,23.5,,20.75,12.35,26
2026-01-04 08:26:15,,,,,22.75,12.39,27
2026-01-04 09:28:27,9.08,1952,23.44,,26.25,12.39,26
2026-01-04 10:31:09,,,,,29.75,12.39,26
2026-01-04 11:33:56,,,,,32,12.41,23
2026-01-04 12:36:26,,,,,30.75,12.41,26
2026-01-04 13:38:59,,,,,30.5,12.41,26
2026-01-04 14:41:37,,,,,31.75,12.42,24
2026-01-04 15:44:15,,,,,32.75,12.42,22
2026-01-04 16:46:53,,,,,33.75,12.42,31
2026-01-04 17:49:28,,,,,34,12.42,25
2026-01-04 18:52:00,,,,,33.75,12.44,30
2026-01-04 19:54:36,,,,,33.75,12.42,30
2026-01-04 20:57:00,,,,,27.75,12.4,27
2026-01-04 21:59:22,,,,,25.5,12.39,28
2026-01-04 23:01:18,9.17,2042,23.5,,24.75,12.39,25
2026-01-05 00:03:51,,,,,24,12.37,31
2026-01-05 01:06:22,9.15,2057,24.19,,22.75,12.37,26
2026-01-05 02:08:52,,,,,22,12.36,26
2026-01-05 03:11:08,9.13,2036,23.88,,21.25,12.36,26
2026-01-05 04:13:43,,,,,22.25,12.35,26
2026-01-05 05:16:25,,,,,23.75,12.35,25
2026-01-05 06:19:03,,,,,23.75,12.35,26
2026-01-05 07:21:14,9.09,1987,23.62,,23.5,12.35,27
2026-01-05 08:23:31,9.08,1990,23.06,,24.25,12.37,29
2026-01-05 09:25:36,9.06,1991,22.94,,24.75,12.39,27
2026-01-05 10:27:06,9.05,1994,22.81,,25,12.39,27
2026-01-05 11:29:45,9.02,1987,22.88,,26.75,12.4,31
2026-01-05 12:31:54,9.01,1974,22.81,,26.75,12.39,26
2026-01-05 13:33:50,8.97,1977,23.12,,27.75,12.4,26
2026-01-05 14:36:03,8.97,1980,23.12,,28,12.4,31
2026-01-05 15:37:50,8.92,1989,23.31,,29,12.42,27
2026-01-05 16:40:09,8.9,2010,23.31,,29.75,12.41,29
2026-01-05 17:42:44,,,,,30.25,12.41,23
2026-01-05 18:45:16,,,,,28,12.42,26
2026-01-05 19:47:10,8.99,1991,23.12,,27.75,12.4,23
2026-01-05 20:49:38,,,,,25.5,12.39,27
2026-01-05 21:51:43,9,1985,23.25,,25,12.39,24
2026-01-05 22:53:38,8.97,1980,22.38,,25.25,12.38,27
2026-01-05 23:55:58,8.97,1960,22.25,,25.25,12.38,26
2026-01-06 00:58:33,,,,,25.25,12.37,25
2026-01-06 02:01:01,8.96,1942,22.25,,25.25,12.37,23
2026-01-06 03:03:35,,,,,24.75,12.36,26
2026-01-06 04:06:00,8.97,1951,22.06,,24.25,12.36,25
2026-01-06 05:08:36,,,,,24.25,12.35,27
2026-01-06 06:11:10,,,,,24,12.35,23
2026-01-06 07:13:42,,,,,23.75,12.33,28
2026-01-06 08:16:17,,,,,25,12.39,25
2026-01-06 09:19:04,,,,,27.25,12.4,25
2026-01-06 10:21:44,,,,,31.25,12.4,26
2026-01-06 11:24:25,8.6,2042,22.06,,36,12.41,27
2026-01-06 12:27:14,,,,,35.25,12.42,29
2026-01-06 13:29:43,,,,,34.75,12.42,26
2026-01-06 14:32:17,,,,,35.25,12.42,26
2026-01-06 15:34:55,,,,,36.5,12.42,24
2026-01-06 16:37:02,8.56,2140,25.44,,38,12.45,26
2026-01-06 17:39:39,,,,,38.75,12.46,26
2026-01-06 18:42:13,,,,,38.5,12.46,24
2026-01-06 19:44:45,,,,,37,12.44,26
2026-01-06 20:47:10,,,,,31.5,12.42,25
2026-01-06 21:49:20,9.01,2056,23.56,,28.5,12.4,22
2026-01-06 22:51:03,9.03,2046,23.31,,27.5,12.39,31
2026-01-06 23:53:31,,,,,25.5,12.39,24
2026-01-07 00:55:58,,,,,23.75,12.38,26
2026-01-07 01:58:26,,,,,22.5,12.38,23
2026-01-07 03:01:01,,,,,21,12.36,26
2026-01-07 04:02:54,9.03,2003,22.62,,20.5,12.36,26
