fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,temperatura_sistema_c,voltaje_v,senal_csq
2026-09-01 00:07:35,9.24,2435,15.81,,17,12.35,27
2026-09-01 01:08:36,9.33,2427,15.56,,16.5,12.35,27
2026-09-01 02:09:32,9.26,2465,15.56,,16.25,12.35,29
2026-09-01 03:10:33,9.64,2484,15.5,,15.75,12.34,28
2026-09-01 04:11:28,10.01,2486,15.38,,14.75,12.33,26
2026-09-01 05:12:23,10.08,2479,15.19,,14,12.33,26
2026-09-01 06:13:19,10.03,2467,15,,13.75,12.31,27
2026-09-01 07:14:22,9.81,2459,14.81,,14.25,12.31,31
2026-09-01 08:15:19,9.62,2438,14.62,,15,12.36,31
2026-09-01 09:16:42,6.66,2412,14.69,,22,12.39,28
2026-09-01 10:17:50,3.93,2419,15.06,,25.25,12.39,27
2026-09-01 10:45:29,3.08,2448,15.56,,26,12.4,29
2026-09-01 10:56:41,1.44,2163,12.94,,26.5,12.39,27
2026-09-01 12:12:25,8.28,1125,16.75,,29.25,12.41,27
2026-09-01 12:28:42,8.28,1134,17.06,,30.25,12.41,26
2026-09-01 13:34:05,8.28,1164,18.75,,32.25,12.42,21
2026-09-01 14:41:18,8.28,1175,18.75,,34.5,12.43,21
2026-09-01 15:48:26,8.28,1206,19.81,,33.75,12.44,21
2026-09-01 16:55:28,8.61,1196,18.38,,31.75,12.43,21
2026-09-01 18:02:20,11.28,1194,17.88,,27.75,12.41,21
2026-09-01 19:09:16,13.1,1199,18.56,,26.25,12.4,21
2026-09-01 20:15:39,13.79,1185,18.06,,24.5,12.39,29
2026-09-01 21:21:36,,1180,17.56,,22.75,12.39,27
2026-09-01 22:27:34,,1183,17.31,,21.75,12.38,28
2026-09-01 23:33:35,,1208,17,,21.25,12.36,28
2026-09-02 00:39:40,,1241,17.06,,21,12.36,31
2026-09-02 01:45:48,,1216,16.81,,22.25,12.35,30
2026-09-02 02:51:52,,1189,16.38,,21,12.35,27
2026-09-02 03:57:52,,1177,16.25,,20,12.33,28
2026-09-02 05:03:51,,1171,16.06,,18.5,12.33,26
2026-09-02 06:09:49,,1162,15.81,,17.75,12.32,27
2026-09-02 07:16:01,,1152,15.62,,16.25,12.31,28
2026-09-02 08:22:03,,1140,15.44,,18.5,12.36,28
2026-09-02 09:28:40,13.06,1135,15.5,,25.25,12.39,29
2026-09-02 10:34:57,8.53,1107,16.25,,30,12.4,31
2026-09-02 11:42:19,8.28,1183,17.31,,32,12.41,31
2026-09-02 12:49:23,8.28,1195,19.19,,32.25,12.41,31
2026-09-02 13:56:24,8.28,1202,19.75,,30.25,12.41,31
2026-09-02 15:03:27,8.28,1185,18.88,,30.25,12.42,31
2026-09-02 16:10:35,8.32,1160,17.81,,30.5,12.42,31
2026-09-02 17:17:39,9.98,1156,17.19,,30,12.43,31
2026-09-02 18:24:38,12.64,1145,16.75,,26.25,12.41,31
2026-09-02 19:31:05,,1136,16.38,,24,12.4,28
2026-09-02 20:37:03,,1137,16.19,,23,12.39,28
2026-09-02 21:43:05,,1127,16,,22.5,12.38,29
2026-09-02 22:49:09,,1123,15.81,,22.25,12.38,27
2026-09-02 23:56:10,,1159,16,,21.75,12.38,29
2026-09-03 01:02:07,,1134,15.81,,19.75,12.36,27
2026-09-03 02:08:06,,1127,15.62,,18,12.35,27
2026-09-03 03:14:03,,1151,15.62,,17,12.33,28
2026-09-03 04:20:05,,1146,15.56,,16.5,12.31,28
2026-09-03 05:26:09,,1143,15.44,,15.75,12.31,28
2026-09-03 06:32:08,,1140,15.31,,15,12.31,30
2026-09-03 07:38:09,,1131,15.19,,15,12.32,28
2026-09-03 08:44:23,,1128,15.25,,19.75,12.39,29
2026-09-03 09:50:44,13.01,1119,15.75,,26.75,12.4,29
2026-09-03 10:57:14,9.02,1161,17.44,,29.25,12.4,30
2026-09-03 12:03:16,8.28,1149,16.94,,29.75,12.41,29
2026-09-03 13:09:18,8.28,1144,16.62,,29,12.41,29
2026-09-03 14:15:21,8.28,1192,17.38,,28.25,12.42,29
2026-09-03 15:21:19,8.89,1177,17.44,,28,12.41,29
2026-09-03 16:27:24,10.35,1164,18.12,,28.5,12.43,29
2026-09-03 17:33:29,11.62,1226,17.69,,28.5,12.41,27
2026-09-03 18:39:23,,1159,16.75,,24.25,12.41,30
2026-09-03 19:45:20,,1149,16.56,,22.75,12.39,29
2026-09-03 20:51:21,,1137,16.31,,22.5,12.37,29
2026-09-03 21:57:24,,1137,16.12,,20.75,12.37,28
2026-09-03 23:03:21,,1137,16.06,,18.75,12.38,29
2026-09-04 00:09:16,,1137,15.94,,16.75,12.35,28
2026-09-04 01:15:18,,1128,15.75,,15.75,12.33,26
2026-09-04 02:21:16,,1117,15.56,,15,12.32,28
2026-09-04 03:27:16,,1111,15.38,,13.75,12.31,28
2026-09-04 04:33:18,,1107,15.25,,13.25,12.31,27
2026-09-04 05:39:20,,1106,15.19,,12.5,12.29,28
2026-09-04 06:45:24,,1103,15.06,,12.5,12.29,27
2026-09-04 07:51:27,,1099,14.94,,13.25,12.31,31
2026-09-04 08:57:49,,1100,15.06,,20.75,12.38,29
