fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,temperatura_sistema_c,voltaje_v,senal_csq
2026-09-08 17:27:18,12.1,733.9,14.94,0,24.25,12.33,12
2026-09-08 17:43:44,12.2,735.5,14.94,0,27.75,12.31,12
2026-09-08 20:36:09,,749.1,14.94,0,18.25,12.25,7
2026-09-08 23:31:38,,768.8,14.81,0,17.5,12.22,7
2026-09-09 02:27:20,,799.1,14.31,0,17,12.17,5
2026-09-09 05:23:45,,797.6,13.38,0,17.5,12.12,5
2026-09-09 08:19:58,,784.4,12.81,0,13.5,12.07,5
2026-09-09 11:17:45,,816.1,13.25,0,27.25,12.22,5
2026-09-09 14:15:36,5.73,790.6,15.38,0,31.25,12.33,5
