fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,distancia_agua_m,profundidad_m,temperatura_aire_c,humedad_aire_pct,temperatura_sistema_c,voltaje_v,senal_csq
2026-09-01 00:05:54,,,,,0.57,0.92,10.48,85.81,9.25,7.24,27
2026-09-01 00:35:49,,,,,0.57,0.91,10.3,86.77,9.5,7.18,27
2026-09-01 01:05:42,,,,,0.57,0.91,10.47,88.02,9.5,7.18,27
2026-09-01 01:35:35,,,,,0.58,0.91,9.79,91.92,9.25,7.1,27
2026-09-01 02:05:28,,,,,0.57,0.91,9.89,89.62,9,7.19,27
2026-09-01 02:35:22,,,,,0.59,0.91,9.53,90.36,9,7.18,27
2026-09-01 03:05:17,,,,,0.58,0.91,9.82,88.42,8.75,7.18,27
2026-09-01 03:35:09,,,,,0.58,0.91,8.78,90.15,8.5,7.19,27
2026-09-01 04:05:01,,,,,0.59,0.91,8.76,89.63,8,7.16,27
2026-09-01 04:34:53,,,,,0.58,0.91,7.9,92.95,7.25,7.16,27
2026-09-01 05:04:47,,,,,0.57,0.92,7.48,92.78,6.75,7.17,27
2026-09-01 05:34:40,,,,,0.57,0.92,7.07,93.27,6.5,7.16,27
2026-09-01 06:04:33,,,,,0.57,0.92,7.76,94.9,6.5,7.15,27
2026-09-01 06:34:27,,,,,0.58,0.92,6.99,93.96,6.25,7.16,27
2026-09-01 07:04:21,,,,,0.58,0.92,7.42,96.61,6,7.16,27
2026-09-01 07:34:15,,,,,0.58,0.92,10.38,82.22,6.75,7.15,27
2026-09-01 08:04:30,,,,,0.58,0.92,13.91,70.33,15,7.16,27
2026-09-01 13:55:58,,,,,0.58,0.92,21.01,57.66,35.75,8.3,30
2026-09-01 14:06:41,,,,,0.59,0.92,21.24,63.78,35.5,8.37,30
2026-09-01 14:07:17,,,,,0.59,0.92,21.23,63.95,35.5,8.37,31
2026-09-01 14:36:58,,,,,0.59,0.92,21.32,67.62,32.75,8.35,31
2026-09-01 15:06:53,,,,,0.59,0.92,23.34,55.15,33.5,8.33,31
2026-09-01 15:36:44,,,,,0.58,0.92,24.2,52.11,31.5,8.34,31
2026-09-01 16:06:34,,,,,0.58,0.92,23.31,32.79,27.75,8.3,31
2026-09-01 16:36:24,,,,,0.58,0.92,22.6,46.95,25.5,8.3,31
2026-09-01 17:06:13,,,,,0.58,0.92,21.84,49.38,23.25,8.3,31
2026-09-01 17:36:05,,,,,0.57,0.92,21,52.93,22,8.29,31
2026-09-01 18:05:57,,,,,0.58,0.92,20.36,55.33,20.75,8.29,31
2026-09-01 18:35:49,,,,,0.57,0.92,19.85,57.87,19.75,8.28,31
2026-09-01 19:05:42,,,,,0.58,0.92,19.52,56.99,19.25,8.3,31
2026-09-01 19:35:33,,,,,0.57,0.92,17.3,67.86,17.75,8.29,31
2026-09-01 20:05:25,,,,,0.57,0.92,16.84,78.89,16.75,8.29,31
2026-09-01 20:36:47,,,,,0.57,0.92,15.8,77.16,16,8.29,30
2026-09-01 21:06:40,,,,,0.57,0.92,14.9,78.79,15.25,8.3,30
2026-09-01 21:36:33,,,,,0.57,0.92,14.84,79.97,14.5,8.26,30
2026-09-01 22:06:26,,,,,0.57,0.92,14.26,80.41,14.25,8.28,30
2026-09-01 22:36:19,,,,,0.57,0.92,14.31,80.39,13.75,8.27,30
2026-09-01 23:06:13,,,,,0.58,0.92,13.96,82.93,13.75,8.29,30
2026-09-01 23:36:06,,,,,0.57,0.92,13.99,85.68,13.5,8.28,30
2026-09-02 00:06:00,,,,,0.57,0.92,13.55,84.71,13.25,8.27,30
2026-09-02 00:35:52,,,,,0.58,0.92,13.93,83.64,13.25,8.28,30
2026-09-02 01:05:46,,,,,0.58,0.92,13.06,85.28,12.75,8.29,30
2026-09-02 01:35:39,,,,,0.57,0.92,12.71,87.32,12.75,8.28,30
2026-09-02 02:05:33,,,,,0.57,0.92,12.86,88.04,12.5,8.27,30
2026-09-02 02:35:27,,,,,0.57,0.92,12.87,89.87,12.25,8.27,30
2026-09-02 03:05:19,,,,,0.57,0.92,11.34,89.02,11.75,8.25,30
2026-09-02 03:35:13,,,,,0.57,0.92,11.18,88.55,11,8.25,30
2026-09-02 04:05:06,,,,,0.57,0.92,12.03,89.61,11,8.27,30
2026-09-02 04:34:59,,,,,0.57,0.92,10.85,91.88,10.5,8.26,30
2026-09-02 05:04:52,,,,,0.57,0.92,10.42,90.77,10.25,8.27,30
2026-09-02 05:34:46,,,,,0.57,0.92,10.07,93.3,9.75,8.28,30
2026-09-02 06:04:39,,,,,0.57,0.92,9.65,93.82,9.5,8.3,30
2026-09-02 06:34:32,,,,,0.57,0.92,10.01,93.79,9.25,8.25,30
2026-09-02 07:04:25,,,,,0.57,0.92,9.99,93.96,9.25,8.25,30
2026-09-02 07:34:18,,,,,0.57,0.92,9.81,92.46,9.5,8.25,30
2026-09-02 08:04:13,,,,,0.57,0.92,11.71,88.24,10.5,8.25,30
2026-09-02 08:36:44,,,,,0.57,0.92,12.79,85.41,13.25,8.29,28
2026-09-02 09:06:45,,,,,0.57,0.92,14.98,77.62,16,8.3,28
2026-09-02 09:36:43,,,,,0.57,0.92,15.09,77.31,18.25,8.3,28
2026-09-02 10:06:38,,,,,0.57,0.92,15.5,76.47,19.25,8.32,28
2026-09-02 10:36:35,,,,,0.57,0.92,17.21,69.05,21.75,8.35,28
2026-09-02 11:06:29,,,,,0.57,0.92,17.05,72.4,23.25,8.35,28
2026-09-02 11:36:22,,,,,0.58,0.92,19.16,62.68,23.75,8.38,28
2026-09-02 12:06:17,,,,,0.58,0.92,18.66,66.54,24.25,8.44,28
2026-09-02 12:36:09,,,,,0.57,0.92,18.75,69.1,23,8.38,28
2026-09-02 13:06:00,,,,,0.57,0.93,19.63,68.72,22.75,8.36,28
2026-09-02 13:35:55,,,,,0.58,0.93,20.26,64.45,23.25,8.37,28
2026-09-02 14:05:50,,,,,0.57,0.93,22.38,46.22,24.25,8.36,28
2026-09-02 14:35:47,,,,,0.58,0.93,22.44,43.52,25.5,8.37,28
2026-09-02 15:05:41,,,,,0.58,0.92,21.78,49.48,26,8.37,28
2026-09-02 15:35:35,,,,,0.58,0.92,21.74,52.51,26.5,8.36,28
2026-09-02 16:05:30,,,,,0.58,0.93,21.78,52.76,26.25,8.38,28
2026-09-02 16:35:21,,,,,0.57,0.93,21.84,46.6,25.5,8.36,28
2026-09-02 17:05:22,,,,,0.58,0.93,24.31,43.57,30.75,8.38,28
2026-09-02 17:35:13,,,,,0.58,0.92,22.19,48.17,27.75,8.38,28
2026-09-02 18:05:01,,,,,0.58,0.92,19.32,54.66,22.5,8.34,28
2026-09-02 18:34:47,,,,,0.58,0.93,18.28,60.36,19.25,8.34,28
2026-09-02 19:04:38,,,,,0.57,0.93,17.33,63.41,17.5,8.34,28
2026-09-02 19:34:30,,,,,0.57,0.93,16.7,66.29,16.75,8.33,28
2026-09-02 20:04:22,,,,,0.57,0.93,16.4,66.83,16.25,8.33,28
2026-09-02 20:36:44,,,,,0.57,0.92,16.16,69.51,16,8.32,30
2026-09-02 21:06:36,,,,,0.57,0.92,15.95,71.15,15.75,8.32,30
2026-09-02 21:36:28,,,,,0.57,0.93,15.49,74.34,15.5,8.31,30
2026-09-02 22:06:20,,,,,0.57,0.93,15.24,73.83,15,8.33,30
