fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,distancia_agua_m,profundidad_m,temperatura_aire_c,humedad_aire_pct,temperatura_sistema_c,voltaje_v,senal_csq
2025-12-01 00:29:11,,,,,1.13,14.62,15,78.35,15.5,8.05,31
2025-12-01 00:59:02,,,,,1.13,14.62,12.75,83.69,14.5,8.05,31
2025-12-01 01:28:53,,,,,1.13,14.62,12.1,87.23,13.5,8.05,31
2025-12-01 01:58:44,,,,,1.12,14.62,11.88,88.87,12.75,8.05,31
2025-12-01 02:28:36,,,,,1.13,14.62,11.58,89.97,12.25,8.05,31
2025-12-01 02:58:29,,,,,1.12,14.62,11.4,90.03,11.75,8.05,31
2025-12-01 03:28:22,,,,,1.13,14.62,10.89,90.77,11.5,8.05,31
2025-12-01 03:58:16,,,,,1.13,14.62,11.14,91.42,11.5,8.05,31
2025-12-01 04:28:09,,,,,1.12,14.62,11.06,96.37,11,8.05,31
2025-12-01 04:58:02,,,,,1.13,14.62,10.33,97.26,11,8.05,31
2025-12-01 05:27:56,,,,,1.13,14.62,10.13,95.92,10.75,8.05,31
2025-12-01 05:57:48,,,,,1.13,14.62,10.57,97.28,10.75,8.05,31
2025-12-01 06:27:42,,,,,1.12,14.62,10.28,99.47,10.5,8.05,31
2025-12-01 06:57:34,,,,,1.13,14.62,13.02,86.43,10.75,8.05,31
2025-12-01 07:27:35,,,,,1.13,14.62,17.09,74.53,15,8.05,31
2025-12-01 07:57:39,,,,,1.14,14.62,17.73,71.95,20.5,8.05,31
2025-12-01 08:27:40,,,,,1.14,14.62,16.22,79.36,24.25,8.05,31
2025-12-01 08:57:33,,,,,1.14,14.62,16.49,79.16,24.5,8.05,31
2025-12-01 09:27:24,,,,,1.14,14.62,17.15,75.67,23.5,8.05,31
2025-12-01 09:59:30,,,,,1.14,14.62,18.65,68.67,25,8.05,31
2025-12-01 10:29:28,,,,,1.13,14.62,19.85,64.81,27.25,8.05,31
2025-12-01 10:59:19,,,,,1.13,14.62,20.51,68.05,26.75,8.05,31
2025-12-01 11:29:10,,,,,1.12,14.62,21.7,62.7,25.75,8.05,31
2025-12-01 11:59:05,,,,,1.12,14.62,22.82,61.77,26.5,8.05,31
2025-12-01 12:28:59,,,,,1.13,14.62,24.07,58.94,27.5,8.13,31
2025-12-01 12:58:55,,,,,1.13,14.62,25.35,51.52,28.5,8.13,31
2025-12-01 13:28:50,,,,,1.13,14.62,26.04,49.33,30,8.13,31
2025-12-01 13:58:46,,,,,1.13,14.62,26.74,44.16,31.25,8.05,31
2025-12-01 14:28:41,,,,,1.13,14.62,28.54,40.6,32,8.13,31
2025-12-01 14:58:37,,,,,1.13,14.62,29.92,34.2,33.75,8.05,31
2025-12-01 15:28:31,,,,,0,14.62,29.57,30.13,34.25,8.14,31
2025-12-01 15:58:22,,,,,1.13,14.62,29.02,38.29,33,8.14,31
2025-12-01 16:28:16,,,,,1.13,14.62,29.73,38.79,33.25,8.14,31
2025-12-01 16:58:08,,,,,0,14.62,29.21,41.09,32.75,8.13,31
2025-12-01 17:28:01,,,,,0,14.62,29.49,41.91,32,8.13,31
2025-12-01 17:57:54,,,,,0,14.62,28.93,39.8,32.25,8.15,31
2025-12-01 18:27:44,,,,,0,14.62,25.74,45.74,29.5,8.14,31
2025-12-01 18:57:34,,,,,0,14.62,23.92,51.23,27.75,8.05,31
2025-12-01 19:27:23,,,,,1.14,14.62,22.89,53.65,25.5,8.13,31
2025-12-01 19:57:14,,,,,0,14.62,21.77,53.05,24.25,8.05,31
2025-12-01 20:27:05,,,,,1.15,14.62,20.56,56.75,22.75,8.05,31
2025-12-01 20:56:56,,,,,0,14.62,19.74,61.07,21.25,8.05,31
2025-12-01 21:26:48,,,,,1.14,14.62,19.26,62.81,20.5,8.05,31
2025-12-01 21:58:48,,,,,1.13,14.62,19.1,62.72,20,8.05,31
2025-12-01 22:28:40,,,,,1.13,14.62,18.86,64.42,19.5,8.05,31
2025-12-01 22:58:33,,,,,1.13,14.62,18.16,65.95,19,8.05,31
2025-12-01 23:28:25,,,,,1.13,14.62,17.38,71.07,18.25,8.05,31
2025-12-01 23:58:17,,,,,1.13,14.62,17.3,71.88,17.75,8.05,31
2025-12-02 00:28:10,,,,,1.13,14.62,17.02,72.84,17.5,8.05,31
2025-12-02 00:58:03,,,,,1.13,14.62,16.96,77.76,17.25,8.05,31
2025-12-02 01:27:56,,,,,1.13,14.62,16.9,77.5,17,8.05,31
2025-12-02 01:57:48,,,,,1.13,14.62,16.07,78.26,17,8.05,31
2025-12-02 02:27:41,,,,,1.13,14.62,16.3,74.93,16.5,8.05,31
2025-12-02 02:57:34,,,,,0,14.62,16.48,74,17,8.05,31
2025-12-02 03:27:27,,,,,1.13,14.62,15.96,75.73,16.75,8.05,31
2025-12-02 03:57:20,,,,,1.13,14.62,15.59,76.37,16.25,8.05,31
2025-12-02 04:27:12,,,,,1.13,14.62,14.86,81.85,15.75,8.05,31
2025-12-02 04:57:00,,,,,1.13,14.62,14.06,86.2,15.25,8.05,31
2025-12-02 05:26:52,,,,,1.13,14.62,13.49,87.72,14.75,8.05,31
2025-12-02 05:56:44,,,,,1.13,14.62,13.21,87.82,14.25,8.05,31
2025-12-02 06:26:37,,,,,1.13,14.62,12.24,90.83,13.5,8.05,31
2025-12-02 06:56:29,,,,,1.13,14.62,13.42,88.72,13,8.05,31
2025-12-02 07:26:29,,,,,1.14,14.62,17.72,71.26,16.5,8.05,31
2025-12-02 07:56:33,,,,,1.14,14.62,19.84,67,22.25,8.05,31
2025-12-02 08:26:32,,,,,1.14,14.62,18.06,71.55,24.75,8.05,31
2025-12-02 08:56:29,,,,,1.14,14.62,18.64,70.55,27.25,8.05,31
2025-12-02 09:26:22,,,,,1.14,14.62,18.83,71.81,26.75,8.05,31
2025-12-02 09:58:23,,,,,1.14,14.62,19.45,66.26,25.5,8.05,31
2025-12-02 10:28:16,,,,,1.14,14.62,20.75,62.79,26.25,8.05,31
2025-12-02 10:58:11,,,,,1.14,14.62,21.38,60.37,27.75,8.05,31
2025-12-02 11:28:02,,,,,1.13,14.62,22.43,59.51,27.25,8.13,31
2025-12-02 11:57:56,,,,,1.13,14.62,23.78,58.67,29,8.13,31
2025-12-02 12:27:47,,,,,1.14,14.62,24.59,54.73,28.25,8.13,31
2025-12-02 12:57:43,,,,,1.13,14.62,26.13,53.7,29.5,8.14,31
2025-12-02 13:27:38,,,,,1.13,14.62,26.52,49.03,30.5,8.14,31
2025-12-02 13:57:32,,,,,1.13,14.62,26.78,54.3,30.5,8.05,31
2025-12-02 14:27:25,,,,,1.13,14.62,28.56,48.39,31.25,8.05,31
2025-12-02 14:57:21,,,,,1.13,14.62,30.14,38.61,32.5,8.13,31
2025-12-02 15:27:15,,,,,1.13,14.62,32.59,34.64,33.75,8.13,31
2025-12-02 15:57:13,,,,,1.13,14.62,32.48,35.35,37,8.14,31
2025-12-02 16:27:07,,,,,1.13,14.62,32.81,34,37.5,8.05,31
2025-12-02 16:56:59,,,,,0,14.62,33.42,32.22,38,8.05,31
2025-12-02 17:26:53,,,,,1.15,14.62,32.95,33.49,37.5,8.14,31
2025-12-02 17:56:45,,,,,1.14,14.62,32.41,36.34,36.5,8.14,31
2025-12-02 18:26:38,,,,,1.15,14.62,32.44,35.37,36.5,8.15,31
2025-12-02 18:56:30,,,,,0,14.62,31.88,36.61,36,8.14,31
2025-12-02 19:26:25,,,,,1.14,14.62,31.11,40.54,36,8.14,31
2025-12-02 19:56:16,,,,,1.14,14.62,25.6,51.89,34,8.05,31
2025-12-02 20:25:59,,,,,1.15,14.62,24.61,53.3,28.5,8.05,31
2025-12-02 20:55:47,,,,,0,14.62,23.82,55.95,26,8.05,31
2025-12-02 21:25:37,,,,,0,14.62,22.98,55.42,24.75,8.05,31
2025-12-02 21:57:37,,,,,1.14,14.62,22.08,57.72,23.5,8.05,31
2025-12-02 22:27:28,,,,,1.13,14.62,21.21,59.75,22.5,8.05,31
2025-12-02 22:57:20,,,,,1.14,14.62,20.72,66.53,21.5,8.05,31
2025-12-02 23:27:11,,,,,1.13,14.62,19.86,66.87,20.75,8.05,31
2025-12-02 23:57:03,,,,,1.14,14.62,17.16,76.68,19.75,8.05,31
2025-12-03 00:26:53,,,,,1.13,14.62,16.27,81.32,18.25,8.05,31
2025-12-03 00:56:44,,,,,1.13,14.62,15.71,80.5,17.25,8.05,31
2025-12-03 01:26:35,,,,,1.13,14.62,15.98,83.37,16.25,8.05,31
2025-12-03 01:56:29,,,,,1.14,14.62,14.92,85.49,16,8.05,31
2025-12-03 02:26:20,,,,,1.14,14.62,13.82,87.87,15.25,8.05,31
2025-12-03 02:56:12,,,,,1.13,14.62,14.82,89.1,14.75,8.05,31
2025-12-03 03:26:05,,,,,1.13,14.62,14.39,91.59,14.5,8.05,31
2025-12-03 03:55:58,,,,,1.14,14.62,13.19,91.07,14,8.05,31
2025-12-03 04:25:51,,,,,1.13,14.62,14.04,93.5,13.75,8.05,31
2025-12-03 04:55:45,,,,,1.14,14.62,13.01,94.51,13.5,8.05,31
2025-12-03 05:25:37,,,,,1.13,14.62,12.73,94.72,13.5,8.05,31
2025-12-03 05:55:29,,,,,1.14,14.62,12.7,95.02,13.25,8.05,31
2025-12-03 06:25:23,,,,,1.14,14.62,12.52,93.9,13.25,8.05,31
2025-12-03 06:55:15,,,,,1.14,14.62,15.24,85.82,13.5,8.05,31
2025-12-03 07:25:18,,,,,1.14,14.62,19.49,73.43,17.75,8.05,31
2025-12-03 07:55:26,,,,,1.15,14.62,21.61,67.62,23.75,8.05,31
2025-12-03 08:25:22,,,,,1.15,14.62,20.59,70.56,26.5,8.05,31
2025-12-03 08:55:21,,,,,1.15,14.62,20.31,73.84,29.75,8.05,31
2025-12-03 09:25:11,,,,,1.14,14.62,20.47,71.41,28.25,8.05,31
2025-12-03 09:57:12,,,,,1.15,14.62,21.84,62.83,28,8.05,31
2025-12-03 10:27:08,,,,,1.14,14.62,22.7,61.3,29.75,8.05,31
2025-12-03 10:57:00,,,,,1.14,14.62,23.6,58.14,29,8.13,31
2025-12-03 11:26:54,,,,,1.14,14.62,25.13,58.89,30.5,8.05,31
2025-12-03 11:56:45,,,,,1.14,14.62,25.38,55.74,29.75,8.14,31
2025-12-03 12:26:37,,,,,1.14,14.62,27,56.67,30.25,8.13,31
2025-12-03 12:56:32,,,,,1.14,14.62,28.43,50.22,32,8.05,31
2025-12-03 13:26:26,,,,,1.14,14.62,28.43,57.09,33,8.14,31
2025-12-03 13:56:21,,,,,1.13,14.62,28.93,48.3,33,8.05,31
2025-12-03 14:26:15,,,,,1.14,14.62,30.15,46.18,33.5,8.13,31
2025-12-03 14:56:08,,,,,1.13,14.62,31.96,40.63,33.75,8.13,31
2025-12-03 15:26:05,,,,,1.13,14.62,34.02,35.48,35.75,8.14,31
2025-12-03 15:56:03,,,,,1.14,14.62,33.98,32.78,38,8.15,31
2025-12-03 16:25:54,,,,,1.15,14.62,33.37,37.74,36.75,8.14,31
2025-12-03 16:55:45,,,,,0,14.62,32.37,42.7,36.25,8.05,31
2025-12-03 17:25:37,,,,,0,14.62,32.3,38.75,36,8.16,31
2025-12-03 17:55:31,,,,,1.14,14.62,33.2,39.37,36.25,8.15,31
2025-12-03 18:25:24,,,,,1.15,14.62,32.04,38.74,36.25,8.16,31
2025-12-03 18:55:15,,,,,1.15,14.62,30.61,42.48,35.25,8.05,31
2025-12-03 19:25:06,,,,,1.15,14.62,30.66,42.41,34.25,8.14,31
2025-12-03 19:54:57,,,,,1.15,14.62,25.7,51.75,32.5,8.14,31
2025-12-03 20:24:41,,,,,1.14,14.62,24.6,56.31,28,8.14,31
2025-12-03 20:54:30,,,,,0,14.62,23.45,58.06,25.75,8.14,31
2025-12-03 21:24:20,,,,,1.15,14.62,22.46,63.43,24.25,8.05,31
2025-12-03 21:56:19,,,,,1.14,14.62,21.35,64.9,23.25,8.05,31
2025-12-03 22:26:10,,,,,1.14,14.62,20.66,68.12,22,8.05,31
2025-12-03 22:56:03,,,,,1.14,14.62,19.23,72.8,21,8.05,31
2025-12-03 23:25:54,,,,,1.14,14.62,19,74.91,20,8.05,31
2025-12-03 23:55:47,,,,,1.14,14.62,18.29,81.55,19.25,8.05,31
2025-12-04 00:25:40,,,,,1.14,14.62,17.84,81.28,18.75,8.13,31
2025-12-04 00:55:32,,,,,1.14,14.62,16.44,83.68,18,8.05,31
2025-12-04 01:25:24,,,,,1.14,14.62,16.41,83.9,17.25,8.05,31
2025-12-04 01:55:15,,,,,1.14,14.62,15.19,89.38,16.5,8.05,31
2025-12-04 02:25:07,,,,,1.14,14.62,14.79,89.76,15.75,8.05,31
2025-12-04 02:54:59,,,,,1.14,14.62,14.87,90,15.25,8.05,31
2025-12-04 03:24:52,,,,,1.14,14.62,14.26,92.06,15,8.05,31
2025-12-04 03:54:45,,,,,1.14,14.62,13.94,93.99,14.75,8.05,31
2025-12-04 04:24:37,,,,,1.14,14.62,14.46,96.02,14.5,8.05,31
2025-12-04 04:54:29,,,,,1.14,14.62,13.24,96.15,14,8.05,31
2025-12-04 05:24:21,,,,,1.14,14.62,12.95,97.05,13.75,8.05,31
2025-12-04 05:54:13,,,,,1.14,14.62,13.03,98.84,13.5,8.05,31
2025-12-04 06:24:06,,,,,1.14,14.62,13.18,98.47,13.25,8.05,31
2025-12-04 06:54:01,,,,,1.14,14.62,14.22,91.88,13.25,8.05,31
2025-12-04 07:23:56,,,,,1.14,14.62,15.55,89.05,15,8.05,31
2025-12-04 07:53:53,,,,,1.15,14.62,17.59,86.07,17.25,8.05,31
2025-12-04 08:23:54,,,,,1.15,14.62,17.45,86.55,20.25,8.05,31
2025-12-04 08:53:55,,,,,1.15,14.62,18.4,82.77,24.5,8.05,31
2025-12-04 09:23:49,,,,,1.14,14.62,17.98,86.03,24.75,8.05,31
2025-12-04 09:55:50,,,,,1.14,14.62,19.02,81.24,25.5,8.05,31
2025-12-04 10:25:44,,,,,1.14,14.62,20.55,78.9,26.25,8.05,31
2025-12-04 10:55:37,,,,,1.14,14.62,21.61,74.82,26.75,8.13,31
2025-12-04 11:25:33,,,,,1.14,14.62,22.47,68.52,27.25,8.05,31
2025-12-04 11:55:26,,,,,1.14,14.62,23.77,65.07,27.25,8.05,31
2025-12-04 12:25:22,,,,,1.14,14.62,25.17,55.68,28.75,8.13,31
2025-12-04 12:55:16,,,,,0,14.62,25.6,52.59,29.75,8.13,31
2025-12-04 13:25:10,,,,,0,14.62,26.3,53.66,30.25,8.13,31
2025-12-04 13:55:04,,,,,1.15,14.62,24.75,65.21,30.5,8.14,31
2025-12-04 14:24:56,,,,,1.15,14.62,26.69,57.03,30.5,8.15,31
2025-12-04 14:54:50,,,,,1.16,14.62,27.3,56.34,30.5,8.14,31
2025-12-04 15:24:41,,,,,1.15,14.62,26.16,56.35,29.75,8.14,31
2025-12-04 15:54:34,,,,,1.15,14.62,26.99,53.3,29.5,8.13,31
2025-12-04 16:24:29,,,,,1.17,14.62,26.41,55,29.5,8.05,31
2025-12-04 16:54:23,,,,,1.16,14.62,26.51,56.42,29.75,8.14,31
2025-12-04 17:24:16,,,,,1.16,14.62,26.6,54.03,29.75,8.14,31
2025-12-04 17:54:09,,,,,0,14.62,25.87,54.98,29.25,8.14,31
2025-12-04 18:24:02,,,,,0.34,14.62,26.14,54.86,29,8.05,31
2025-12-04 18:53:54,,,,,0,14.62,25.41,56.73,28.75,8.14,31
2025-12-04 19:23:47,,,,,0,14.62,23.44,60.74,27.5,8.13,31
2025-12-04 19:53:38,,,,,1.17,14.62,19.47,74.8,25.75,8.13,31
