fecha,ph,conductividad_us_cm,temperatura_agua_c,oxigeno_disuelto_mg_l,distancia_agua_m,profundidad_m,temperatura_aire_c,humedad_aire_pct,temperatura_sistema_c,voltaje_v,senal_csq
2026-07-01 00:05:10,,,,,0,0.45,1.61,90.54,1.75,6.82,27
2026-07-01 00:35:05,,,,,0,0.45,1.55,92.74,1.5,6.81,27
2026-07-01 01:05:00,,,,,0,0.45,0.93,90.48,1,6.81,27
2026-07-01 01:34:55,,,,,0,0.45,0.66,92.17,0.75,6.8,27
2026-07-01 02:04:50,,,,,0,0.45,0.37,91.6,0.5,6.81,27
2026-07-01 02:34:46,,,,,0,0.45,0.08,92.58,0,6.81,27
2026-07-01 03:04:41,,,,,0,0.45,-0.23,91.34,,6.81,27
2026-07-01 03:34:36,,,,,0,0.45,-0.37,94.15,,6.81,27
2026-07-01 04:04:32,,,,,0,0.45,-0.54,94.05,,6.81,27
2026-07-01 04:34:27,,,,,0,0.45,-0.69,95.17,,6.81,27
2026-07-01 05:04:22,,,,,0,0.45,-1.14,94.95,,6.81,27
2026-07-01 05:34:18,,,,,0,0.45,-1.19,95.33,,6.81,27
2026-07-01 06:04:13,,,,,0,0.45,-1.27,95.89,,6.81,27
2026-07-01 06:34:09,,,,,0,0.45,-1.67,94.83,,6.79,27
2026-07-01 07:04:05,,,,,0,0.45,-1.84,96.13,,6.79,27
2026-07-01 07:34:00,,,,,0,0.46,-1.95,96.44,,6.79,27
2026-07-01 08:03:56,,,,,0,0.46,-2.23,96.82,,6.81,27
2026-07-01 08:36:01,,,,,0,0.46,-2.15,96.81,,6.81,29
2026-07-01 09:05:56,,,,,0,0.46,-1.93,96.34,,6.81,29
2026-07-01 09:35:52,,,,,0,0.46,-1.62,97.46,,6.79,29
2026-07-01 10:05:49,,,,,0,0.46,0.02,98.49,,6.8,29
2026-07-01 10:35:51,,,,,0,0.46,4.92,90.7,1.5,6.8,29
2026-07-01 11:05:55,,,,,0,0.46,7.92,77.06,5.75,6.8,29
2026-07-01 11:35:58,,,,,0,0.46,10.82,67.89,10,6.78,29
2026-07-01 12:06:03,,,,,0,0.46,13.18,56.6,14.25,6.78,29
